boliga_id;address1;address2;zipcode;list_price;living_area;lot_area;rooms;floors;construction_date;energy_rating;taxes_pr_month;bsmnt_area;station_dist_km;created_date;market_days;url;gmaps
1703228;Kildevej 4; 2840 Holte;2840;9200000.0;205.0;614.0;7.0;0.0;0.0;D;6458.0;15.0;;2020-09-10 00:00:00;150;https://www.boliga.dk/bolig/1703228;https://maps.google.com/?q=56.687809,9.074501
1702495;Christoffers Alle 23; 2800 Kongens Lyngby;2800;3250000.0;98.0;726.0;4.0;0.0;0.0;D;3313.0;0.0;1.9;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702495;https://maps.google.com/?q=55.753337,12.488367
1702059;Rugtoften 4; 2880 Bagsværd;2880;4195000.0;220.0;1089.0;6.0;0.0;1950.0;C;5525.0;81.0;;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702059;https://maps.google.com/?q=55.823366,11.986114
1702163;Vejdammen 94; Gl Holte;2840;4695000.0;150.0;1318.0;5.0;0.0;1975.0;E;4265.0;0.0;;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702163;https://maps.google.com/?q=55.842098,12.510218
1702085;Lyngbyvej 391; 2820 Gentofte;2820;5995000.0;194.0;1272.0;6.0;0.0;1934.0;E;4244.0;97.0;;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702085;https://maps.google.com/?q=57.418376,9.774534
1702010;Helleskrænten 17; 2860 Søborg;2860;6495000.0;137.0;849.0;6.0;0.0;1959.0;C;5732.0;73.0;;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702010;https://maps.google.com/?q=55.721097,12.501781
1701836;Trongårdsparken 30; 2800 Kongens Lyngby;2800;6595000.0;199.0;1208.0;6.0;0.0;1963.0;E;5991.0;0.0;1.96;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1701836;https://maps.google.com/?q=55.77542,12.53149
1702141;Himmelev Bygade 14; Himmelev;4000;8495000.0;198.0;782.0;8.0;0.0;1923.0;D;4501.0;6.0;;2020-09-09 00:00:00;151;https://www.boliga.dk/bolig/1702141;https://maps.google.com/?q=55.658211,12.107856
1701615;Uggeløse Bygade 134; 3540 Lynge;3540;2998000.0;98.0;567.0;4.0;0.0;1850.0;F;2972.0;8.0;;2020-09-08 00:00:00;152;https://www.boliga.dk/bolig/1701615;https://maps.google.com/?q=55.839848,12.256786
1701774;Gl Søvej 7; 2640 Hedehusene;2640;3645000.0;169.0;721.0;5.0;0.0;1918.0;D;3153.0;0.0;;2020-09-08 00:00:00;152;https://www.boliga.dk/bolig/1701774;https://maps.google.com/?q=
1701733;Mågevej 23; 2970 Hørsholm;2970;6800000.0;163.0;750.0;6.0;0.0;1964.0;E;6071.0;41.0;;2020-09-08 00:00:00;152;https://www.boliga.dk/bolig/1701733;https://maps.google.com/?q=54.696493,11.972305
1701669;Læhegnet 3; 3450 Allerød;3450;8495000.0;232.0;889.0;6.0;0.0;1969.0;D;5934.0;70.0;142,97;2020-09-08;152;https://www.boliga.dk/bolig/1701669;https://maps.google.com/?q=55.063659,10.60103
1701436;Råhavevej 4; 2730 Herlev;2730;4295000.0;169.0;756.0;5.0;0.0;1963.0;C;4468.0;0.0;;2020-09-07 00:00:00;153;https://www.boliga.dk/bolig/1701436;https://maps.google.com/?q=55.739236,12.419305
1701301;Borrevejlevej 2; 4000 Roskilde;4000;2595000.0;145.0;1243.0;4.0;0.0;1958.0;E;3776.0;70.0;;2020-09-06 00:00:00;154;https://www.boliga.dk/bolig/1701301;https://maps.google.com/?q=55.644599,11.943648
1701299;Snogegårdsvej 123; 2860 Søborg;2860;3995000.0;121.0;985.0;5.0;0.0;1960.0;E;4216.0;0.0;;2020-09-06 00:00:00;154;https://www.boliga.dk/bolig/1701299;https://maps.google.com/?q=55.749386,12.499064
1701146;Uggeløse Skovvej 3; 3540 Lynge;3540;3750000.0;191.0;4449.0;4.0;0.0;1901.0;D;6458.0;0.0;;2020-09-05 00:00:00;155;https://www.boliga.dk/bolig/1701146;https://maps.google.com/?q=55.839233,12.237671
1701123;Hedevænget 1; 2800 Kongens Lyngby;2800;4950000.0;80.0;665.0;3.0;0.0;1939.0;D;3877.0;0.0;123.63;2020-09-05 00:00:00;155;https://www.boliga.dk/bolig/1701123;https://maps.google.com/?q=55.321875,10.709517
1700754;Bukkardalen 4; 3400 Hillerød;3400;3795000.0;130.0;1284.0;4.0;0.0;1968.0;D;4331.0;0.0;;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700754;https://maps.google.com/?q=55.967683,12.290893
1700520;Brådebæksvej 20; 2970 Hørsholm;2970;5700000.0;142.0;1003.0;5.0;0.0;2005.0;B;5537.0;0.0;;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700520;https://maps.google.com/?q=55.864996,12.489351
1700372;Vangebovej 63; Søllerød;2840;6495000.0;182.0;1236.0;5.0;0.0;1973.0;D;8006.0;0.0;;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700372;https://maps.google.com/?q=55.809967,12.505932
1700370;Lærkevangen 7; 2750 Ballerup;2750;6995000.0;179.0;960.0;3.0;0.0;2005.0;C;5715.0;0.0;;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700370;https://maps.google.com/?q=56.675582,10.12192
1700693;Nybrovej 455; Frederiksdal;2800;17000000.0;259.0;2219.0;6.0;0.0;1864.0;D;7465.0;139.0;1.0;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700693;https://maps.google.com/?q=55.7657204,12.4877444
1700624;Skovbrynet 94; 2800 Kongens Lyngby;2800;19795000.0;238.0;3281.0;7.0;0.0;1922.0;C;16072.0;106.0;1.71;2020-09-04 00:00:00;156;https://www.boliga.dk/bolig/1700624;https://maps.google.com/?q=55.783285,12.496863
1700254;Hestetangsvej 80; 3520 Farum;3520;4750000.0;129.0;4000.0;5.0;0.0;1954.0;-;3324.0;83.0;;2020-09-03 00:00:00;157;https://www.boliga.dk/bolig/1700254;https://maps.google.com/?q=55.812169,12.340929
1700203;Hambros Alle 9; 2900 Hellerup;2900;37500000.0;260.0;1048.0;6.0;0.0;1906.0;C;12249.0;121.0;;2020-09-03 00:00:00;157;https://www.boliga.dk/bolig/1700203;https://maps.google.com/?q=55.738073,12.578444
1699571;Vesterkøb 14; 2640 Hedehusene;2640;2995000.0;92.0;679.0;2.0;0.0;1935.0;D;2891.0;81.0;;2020-09-02 00:00:00;158;https://www.boliga.dk/bolig/1699571;https://maps.google.com/?q=55.65075,12.196923
1699980;Toftebjergvej 19; 2970 Hørsholm;2970;2995000.0;105.0;1180.0;4.0;0.0;1950.0;D;4415.0;0.0;;2020-09-02 00:00:00;158;https://www.boliga.dk/bolig/1699980;https://maps.google.com/?q=55.861805,12.491235
1699941;Valeursvej 11; 2900 Hellerup;2900;21500000.0;244.0;1185.0;7.0;0.0;1934.0;F;13580.0;134.0;;2020-09-02 00:00:00;158;https://www.boliga.dk/bolig/1699941;https://maps.google.com/?q=55.738914,12.558305
