,boliga_id,address1,address2,zipcode,list_price,living_area,lot_area,rooms,floors,construction_date,energy_rating,taxes_pr_month,bsmnt_area,station_dist_km,created_date,url,gmaps,market_days
0,1753930,Elmevænget 31, 2880 Bagsværd,2880,8995000,210,877,6,0,1955,C,6667,0,0.69,2021-03-03,https://www.boliga.dk/bolig/1753930,"https://maps.google.com/?q=55.768098,12.453815",24
0,1747104,Stenten 8B, 2880 Bagsværd,2880,5995000,150,650,4,0,1977,C,4660,0,0.73,2021-02-11,https://www.boliga.dk/bolig/1747104,"https://maps.google.com/?q=55.766487,12.443388",44
0,1745965,Skovdiget 4, A+B,2880,5495000,269,0,6,0,1760,D,6385,0,161.74,2021-02-06,https://www.boliga.dk/bolig/1745965,"https://maps.google.com/?q=56.384524,9.658448",49
0,1740913,Espegårdsvej 16, 2880 Bagsværd,2880,5495000,154,728,6,0,1969,D,5396,88,19.73,2021-01-22,https://www.boliga.dk/bolig/1740913,"https://maps.google.com/?q=56.081004,12.154764",64
0,1738107,Jægergangen 104, 2880 Bagsværd,2880,6795000,222,1200,8,0,1959,D,6292,0,1.29,2021-01-12,https://www.boliga.dk/bolig/1738107,"https://maps.google.com/?q=55.747867,12.459453",74
0,1737861,Haremosen 18, 2880 Bagsværd,2880,6495000,132,1053,6,0,1965,E,5931,132,0.61,2021-01-11,https://www.boliga.dk/bolig/1737861,"https://maps.google.com/?q=55.759888,12.429548",75
0,1737838,Vibevænget 80, 2880 Bagsværd,2880,6795000,191,817,6,0,1954,C,4523,0,208.81,2021-01-11,https://www.boliga.dk/bolig/1737838,"https://maps.google.com/?q=56.686312,9.06224",75
0,1737406,Slotsparken 88, 2880 Bagsværd,2880,9995000,184,1037,6,0,1952,C,6958,0,0.63,2021-01-08,https://www.boliga.dk/bolig/1737406,"https://maps.google.com/?q=55.767047,12.449329",78
0,1725913,Råvænget 19, 2880 Bagsværd,2880,3595000,88,717,4,0,1955,C,3494,0,1.24,2020-11-23,https://www.boliga.dk/bolig/1725913,"https://maps.google.com/?q=55.746843,12.463445",124
0,1725369,Rylevænget 64, 2880 Bagsværd,2880,4595000,105,710,4,0,1962,D,4019,0,40.12,2020-11-20,https://www.boliga.dk/bolig/1725369,"https://maps.google.com/?q=55.454546,11.543026",127
0,1725457,Aldershvilevej 40, 2880 Bagsværd,2880,9995000,213,1196,6,0,1951,C,7349,140,88.83,2020-11-20,https://www.boliga.dk/bolig/1725457,"https://maps.google.com/?q=55.320747,10.801816",127
0,1718296,Klirevænget 59, 2880 Bagsværd,2880,4295000,131,543,4,0,1963,D,4183,0,0.7,2020-10-28,https://www.boliga.dk/bolig/1718296,"https://maps.google.com/?q=55.750388,12.470911",150
0,1718107,Bagsværd Hovedgade 208, 2880 Bagsværd,2880,4895000,150,954,5,0,1961,D,5668,0,0.52,2020-10-27,https://www.boliga.dk/bolig/1718107,"https://maps.google.com/?q=55.762229,12.445242",151
0,1705470,Klirevænget 57, 2880 Bagsværd,2880,3845000,125,450,4,0,1963,D,4015,0,0.69,2020-09-17,https://www.boliga.dk/bolig/1705470,"https://maps.google.com/?q=55.750447,12.470765",191
0,1702059,Rugtoften 4, 2880 Bagsværd,2880,4195000,220,1089,6,0,1950,C,5525,81,5.17,2020-09-09,https://www.boliga.dk/bolig/1702059,"https://maps.google.com/?q=55.823366,11.986114",199
0,1696053,Lupinmarken 14B, 2880 Bagsværd,2880,3800000,116,1225,4,0,1977,D,2777,0,0.66,2020-08-21,https://www.boliga.dk/bolig/1696053,"https://maps.google.com/?q=55.750772,12.475528",218
0,1675444,Rugtoften 14, 2880 Bagsværd,2880,3995000,90,632,4,0,1947,E,3686,90,189.73,2020-06-21,https://www.boliga.dk/bolig/1675444,"https://maps.google.com/?q=55.419399,9.144639",279
0,1672798,Haremosen 24, 2880 Bagsværd,2880,5795000,176,1265,6,0,1965,D,6419,100,0.66,2020-06-16,https://www.boliga.dk/bolig/1672798,"https://maps.google.com/?q=55.759398,12.429631",284
